Date,Adj Close,Open,High,Low,,
2017-02-05,149.38,148.63,149.58,147.76,,
2017-02-12,151.6,149.38,151.6,149.38,,
2017-02-19,153.02,151.38,153.02,150.82,,
2017-02-26,153.73,153.02,154.9,152.41,,
2017-03-05,153.03,153.73,153.73,151.79,,
2017-03-12,153.35,153.03,154.01,151.95,,
2017-03-19,151.14,153.35,153.48,150.7,,
2017-03-26,151.87,151.14,152.48,150.04,,
2017-04-02,151.22,151.87,152.97,150.71,,
2017-04-09,149.51,151.22,151.86,149.51,,
2017-04-16,149.96,149.51,150.75,149.47,,
2017-04-23,151.5,149.96,152.93,149.96,,
2017-04-30,151.84,151.5,151.84,150.63,,
2017-05-07,150.3,151.84,151.84,150.05,,
2017-05-14,149.87,150.3,151.28,148.11,,
2017-05-21,151.51,149.87,151.74,149.87,,
2017-05-28,153,151.54,153.1,151.12,,
2017-06-04,153.45,153,153.46,152.05,,
2017-06-11,154.43,153.45,154.43,153.29,,
2017-06-18,153.71,154.43,155.12,153.23,,
2017-06-25,152.82,153.71,154.43,151.88,,
2017-07-02,152.65,152.82,154.17,151.88,,
2017-07-09,154.04,152.65,154.36,151.57,,
2017-07-16,154.56,154.04,155.08,153.42,,
2017-07-23,154.75,154.56,155.23,153.92,,
2017-07-30,155.11,154.75,155.38,154.51,,
2017-08-06,153.17,155.11,155.72,153.02,,
2017-08-13,151.89,153.17,154.84,151.58,,
2017-08-20,153.22,151.89,153.75,151.53,,
2017-08-27,154.57,153.22,154.78,152.46,,
2017-09-03,153.95,154.19,154.78,152.87,,
2017-09-10,157.17,153.95,157.17,153.95,,
2017-09-17,157.91,157.17,158.22,157.17,,
2017-09-24,158.53,157.91,158.53,157.43,,
2017-10-01,160.07,158.53,160.46,158.41,,
2017-10-08,160.74,160.07,161.26,159.79,,
2017-10-15,162.51,160.74,162.51,160.62,,
2017-10-22,162.03,162.51,162.82,160.46,,
2017-10-29,161.6,162.03,162.03,160.58,,
2017-11-05,160.79,161.6,161.7,160.14,,
2017-11-12,160.49,160.79,161.25,159.62,,
2017-11-19,161.52,160.49,161.74,160.37,,
2017-11-26,165.25,161.52,166.12,161.45,,
2017-12-03,165.81,165.25,166.81,164.49,,
2017-12-10,167.3,165.81,167.59,165.71,,
2017-12-17,167.57,167.3,168.71,167.12,,
2017-12-24,167.25,167.52,168.27,167.25,,
2017-12-31,170.04,167.93,170.07,167.25,,
2018-01-07,172.32,170.04,172.45,169.61,,
2018-01-14,173.57,171.33,173.94,171.28,,
2018-01-21,177.6,173.57,177.6,173.53,,
2018-01-28,170.25,177.6,177.6,170.08,,
2018-02-04,161.59,170.25,170.25,156.71,,
2018-02-11,167.57,161.59,168.98,161.59,,
2018-02-18,167.64,167.41,168.98,164.63,,
2018-02-25,164.07,167.64,170.43,161.91,,
2018-03-04,168.87,164.07,168.87,163.27,,
2018-03-11,166.65,168.87,169.57,165.72,,
2018-03-18,157.14,166.65,166.65,156.99,,
2018-03-25,161.33,157.14,162.36,157.14,,
2018-04-01,159.54,161.33,163.24,156.08,,
2018-04-08,162.49,159.54,163.7,159.54,,
2018-04-15,162.34,162.49,165.32,161.76,,
2018-04-22,162.85,162.34,163.59,159.95,,
2018-04-29,161.04,162.85,163.66,157.29,,
2018-05-06,164.29,161.04,164.57,160.04,,
2018-05-13,163.68,164.29,165.11,163.19,,
